        Serial no.                        Change Request #                                                  Target Date  Ready for Promotion                                                                               Attachment EAP Attachment/\nEAP included? (Y/N)                                                                                                                                                                                                                                                                                                                        Description     Version Urgency Classification Weblogic Cluster  EAR file  Datasource Team     Requested by                                                                                                                                                                                                                                                     Remarks EAP (PROD)  VH3 CORP                 HKEC          Unnamed: 20          Unnamed: 21          Unnamed: 22          Unnamed: 23          Unnamed: 24                 HKWC          Unnamed: 26          Unnamed: 27          Unnamed: 28          Unnamed: 29          Unnamed: 30          Unnamed: 31          Unnamed: 32                  KCC          Unnamed: 34          Unnamed: 35          Unnamed: 36          Unnamed: 37          Unnamed: 38          Unnamed: 39          Unnamed: 40                  KEC          Unnamed: 42          Unnamed: 43                  KWC          Unnamed: 45          Unnamed: 46          Unnamed: 47          Unnamed: 48                 NTEC          Unnamed: 50          Unnamed: 51          Unnamed: 52          Unnamed: 53          Unnamed: 54          Unnamed: 55                 NTWC          Unnamed: 57          Unnamed: 58          Unnamed: 59          Unnamed: 60 Unnamed: 61
138  PPM2021_S0138                                  CNR-45                                               9 May 2021 CMW  2021-05-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0138.xlsx                                  NaN                                                                                                                                                                                                                                                    CNR-45: [CNR] Load Allied Health Documentation records to CNR for ICNV display.  2021-S0138      SV        Service              NaN       NaN         NaN  CS4  Wing Chung TANG                                                                                                                                                                                       The target promotion date is 9-May-2021 (2021-May common maintenance)        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
139  PPM2021_S0139                                  CNR-46                                            17-May-2021 18:30  2021-05-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0139.xlsx                                  NaN                                                                                                                                                                                                                                                          CNR-46: [CNR] Enable ICNV to display Allied Health Documentation records.  2021-S0139      SV        Service              NaN       NaN         NaN  CS4  Wing Chung TANG                                                                                                                                                                                                             The target promotion date is 17-May-2021 18:30.        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
140  PPM2021_S0140                                  MPL-93                                09 May-2021 01:00AM – 02:00AM  2021-05-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0140.xlsx                                  NaN                                                                                                                                                                                                                                                                           MPL-93: [MPL] HKCTT monthly maintenance for May 2021 CMW  2021-S0140      SV        Service              NaN       NaN         NaN  CS4      Franco TANG  For CORP IMP:  Please apply this during CMW:  09 May-2021 01:00AM – 02:00AM, For IP IMP:  Please execute the Servlet or BCP command during:  09 May-2021 06:00AM – 07:00AM (Before the clinic opening hour) (Please promote before CDF-112 (PPM2021_S0141)        NaT  NaN  NaN  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00  2021-05-09 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
141  PPM2021_S0141                                 CDF-112  For CORP IMP:  Please apply:  09 May-2021 01:00AM – 01:30AM  2021-05-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0141.xlsx                                  NaN                                                                                                                                                                                                                                                                                     CDF-112: [CDF] [CMW] CDF amendment in May 2021  2021-S0141      SV        Service              NaN       NaN         NaN  CS4        Wilson YU                                                                                                                                                   For CORP IMP:  Please apply:  09 May-2021 01:00AM – 01:30AM (Please promote after MPL-93 (PPM2021_S0140))        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
142  PPM2021_S0142                           CORPALERT-136                                                  10 May 2021  2021-05-07 00:00:00                                                                                      NaN                                  NaN                                                                                                                                                                                                           CORPALERT-136: To generate update logs with validity period for those MDRO alerts that were edited through ICP interface  2021-S0142      SV        Service              NaN       NaN         NaN  CS1       Ka Fu Wong                                                                                                                                                                                                                                           [Rollback in PRD]        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
143  PPM2021_S0143                                AHDOC-77                                         on 11 May 2021 18:30  2021-05-07 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0206                                  NaN                                                                                                                                                                                                                                                                     AHDOC-77: [AHDOC][ENABLE FUNCTION] Enable RAMS in TPH OT dept.  2021-S0143      SV        Service              NaN       NaN         NaN  CS3      David Cheng                                                                                                                                                                                                                             TPH only (on 11 May 2021 18:30)        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-05-11 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
144  PPM2021_S0144                 CMSMENU-38, CMSLOGON-65                                     On or before 14-May-2021  2021-05-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0144.xlsx                                  NaN                                                                                                                                                           CMSMENU-38 [CMS - Menu Bar] Update security bit to grant access right to eConsent\nCMSLOGON-65 [User Admin] Add security bit for "Enquiry and Status Update" of eConsent  2021-S0144      SV        Service              NaN       NaN         NaN  EA2        Ricky Yau                                                                                                                                                                                                                              ALL / On or before 14-May-2021        NaT  NaN  NaN  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00  2021-05-14 00:00:00         NaN
145  PPM2021_S0145                               CMSHAGO-4                                                  17-May-2021  2021-05-17 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0204                                  NaN                                                                                                                                                                                                                                 CMSHAGO-4: [CMSHAGO] To add the client credentials of CMS HA Go Indicator to CMS static parameters  2021-S0145      SV        Service              NaN       NaN         NaN  CS2     Steven LEUNG                                                                                                                                                                                                                      All hospitals on or before 17-May-2021        NaT  NaN  NaN  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-17 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-20 00:00:00  2021-05-20 00:00:00  2021-05-20 00:00:00  2021-05-20 00:00:00  2021-05-20 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00  2021-05-21 00:00:00         NaN
146  PPM2021_S0146                               PSYCIS-22                                                  17-May-2021  2021-05-17 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0207                                  NaN                                                                                                                                                                                                                                                 PSYCIS-22: [PSYCIS] Migration of PsyCIS Applications into WebLogic 12c Platform v2  2021-S0146      SV        Service              NaN       NaN         NaN  CS6     Desmond CHOW                                                                                                                                                                                                                                                       44333        NaT  NaN  NaN  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00  2021-05-31 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-06-03 00:00:00  2021-06-03 00:00:00  2021-06-03 00:00:00  2021-06-03 00:00:00  2021-06-03 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
147  PPM2021_S0147                                 MEBP-48                                                  17-May-2021  2021-05-17 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0211                                  NaN                                                                                                                                                                                                                                                        MEBP-48: [MEBP] Update app configuration to support IOS 14.5 in Smart Panel  2021-S0147      SV        Service              NaN       NaN         NaN  CS6       Jeanie TSE                                                                                                                                                                                                                                                       44333        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
