        Serial no.      Change Request # Target\nDate  Ready for Promotion                                                                               Attachment                   EAP Attachment/\nEAP included? (Y/N)                                                                                                                                                                                                       Description  Version Urgency Classification           Weblogic Cluster                                                       EAR file Datasource Team     Requested by                                                                                              Remarks EAP (PROD)  VH3 CORP                 HKEC          Unnamed: 20          Unnamed: 21          Unnamed: 22          Unnamed: 23          Unnamed: 24                 HKWC          Unnamed: 26          Unnamed: 27          Unnamed: 28          Unnamed: 29          Unnamed: 30          Unnamed: 31          Unnamed: 32                  KCC Unnamed: 34          Unnamed: 35 Unnamed: 36          Unnamed: 37 Unnamed: 38 Unnamed: 39 Unnamed: 40  KEC          Unnamed: 42          Unnamed: 43  KWC          Unnamed: 45 Unnamed: 46          Unnamed: 47          Unnamed: 48                 NTEC          Unnamed: 50          Unnamed: 51          Unnamed: 52          Unnamed: 53          Unnamed: 54          Unnamed: 55                 NTWC          Unnamed: 57 Unnamed: 58 Unnamed: 59          Unnamed: 60 Unnamed: 61 Unnamed: 62
348  PPM2021_12001              GCRS-228          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0482                                                      Y                                                                                                                                   GCRS-228: [GCRS] Rectify incomplete case # printed on Request Information Sheet  2021-12      BW     Bi-weeking          CmstertCorpGcrPrd                                    CMS_GCR_GCR_APP_5_9_0 5.9.0        NaN  CS1        Mabel LAU                                      [EAP 12c rollout] Please promote after GCRS-231 (PPM2021_U0231)        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN  2021-08-26 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
349  PPM2021_12002             LETTER-66          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0490                                                    NaN                                                                                                             LETTER-66: [LETTER] Update the forwarder to 12C endpoint for PAS Service PAS PAS_PAS_LETTER_WSS_3_0_0  2021-12      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS3    Springo CHUNG                                                                                                  NaN        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
350  PPM2021_12003                CCM-43          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0493                                                    NaN                                                                                                                                             CCM-43: [CCM] Add "Gynaecology" in the list of "Referral from doctor"  2021-12      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS3        Henry LAM                                                                                                  NaN        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
351  PPM2021_12004           TELECARE-11          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0368        ..\EAP\Forms\EAP_CmsmiscCorpMisch_21_12004.xlsx                                                                                                                       TELECARE-11: [TELECARE] Change to font color to red if status is "Pending follow up" in PSP  2021-12      BW     Bi-weeking        CmsmiscCorpMischPrd                           CMS_TELECARE_MEETING_APP_2_0_6 2.0.6        NaN  CS3        Henry LAM                                                                              [EAP 12c rollout] [API]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-09-04 00:00:00         NaN  2021-08-31 00:00:00         NaN  2021-09-01 00:00:00         NaN         NaN         NaN  NaN  2021-09-01 00:00:00  2021-08-27 00:00:00  NaN  2021-08-26 00:00:00         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-01 00:00:00  2021-09-01 00:00:00         NaN         NaN  2021-09-01 00:00:00         NaN         NaT
352  PPM2021_12005      CDF-115, CDF-116          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0499                                                      Y                                                                              CDF-115: [CDF] [Ca Breast] To implement a new cancer staging control\nCDF-116: [CDF] To allow uncheck action for radio button in CDF  2021-12      BW     Bi-weeking          CmstertCorpMplPrd                               CMS_CDF_FRONTEND_APP_4_1_7 4.1.7        NaN  CS4      Thomas CHOW                                                                                    [EAP 12c rollout]        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN  2021-08-26 00:00:00         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
353  PPM2021_12006             NDORS-189          NaN  2021-08-24 00:00:00                                                      ..\Forms\2021\BW\PPM2021_12006.xlsx                                                    NaN                                                                                                        NDORS-189: [NDORS] Interface of "Dangerous Drug / Non-Dangerous Drug Related Poisoning" with Patient Album  2021-12      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS3       Ivan Leung                                                                                                  NaN        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
354  PPM2021_12007             LETTER-65          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0509                                                    NaN                                                                                                                                                       LETTER-65: [LETTER] Add new program for PPP Referral Letter  2021-12      BW     Bi-weeking                        NaN                                                            NaN        NaN  CS3      Steven CHAN                                                                                                  NaN        NaT  NaN  NaN  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-08-31 00:00:00  2021-09-04 00:00:00         NaN  2021-08-31 00:00:00         NaN  2021-09-01 00:00:00         NaN         NaN         NaN  NaN  2021-09-01 00:00:00  2021-08-27 00:00:00  NaN                  NaN         NaN  2021-08-26 00:00:00  2021-08-26 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-04 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-03 00:00:00  2021-09-01 00:00:00  2021-09-01 00:00:00         NaN         NaN  2021-09-01 00:00:00         NaN         NaT
355  PPM2021_12008             ORTSOPS-3          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0484                                                      Y                                                                                                                                  ORTSOPS-3: [ORTSOPS] Change of the organ procurement number for private hospital  2021-12      BW     Bi-weeking         CmstertCorpOrtsPrd                                  CMS_ORTS_ORTS_APP_3_4_1 3.4.1        NaN  CS3   Nicholas YEUNG                    [EAP 12c rollout] Please inform HO IT&HI ORTS Team after deployment in production        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
356  PPM2021_12009               PCP-135          NaN  2021-08-24 00:00:00                                                                                Withdrawn                                                      Y                                                                                                                       PCP-135: [PCP] To retrieve the relevant data of PAF(Nursing), PAF(Paed), PsyPAF data to PCP  2021-12      BW     Bi-weeking          CmssecCorpCcssPrd                                    CMS_CMS_PCP_APP_3_2_0 3.2.0        NaN  CS4      Johnny PANG                                                                                [Test Failure in AAT]        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
357  PPM2021_12010              CBNS-463          NaN  2021-08-24 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0463                                                      Y                                                                                                                                 CBNS-463: [CBNS] To obsolete the COPY function for 'Joint Visit' Home Care Record  2021-12      BW     Bi-weeking          CmssecCorpCcssPrd                                   CMS_CMS_CBNS_APP_2_4_0 2.4.0        NaN  CS4     Raymond TING                                                                                    [EAP 12c rollout]        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN                  NaN         NaN                  NaN         NaN         NaN         NaN  NaN                  NaN                  NaN  NaN                  NaN         NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN         NaN                  NaN         NaN         NaT
